ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Since,Total_Spending,Total_Children,AgeGroup,Cluster,KMeans_Cluster_Names,PCA1,PCA2,GMM_Cluster,GMM_Confidence,GMM_Cluster_Names
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,52,4586,67,1,50-59,4,High-Value Omnichannel Customers,-1.446888133290309,1.950526510597903,0,0.9090208228602332,Low-Value Customers
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,82,4961,902,0,70+,2,High-Value Store Loyalists,0.6682806586659658,-0.030009538580988905,1,0.9435015002812883,High-Value Store Customers
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,45,4874,1395,1,40-49,3,Dormant / Disengaged Customers,1.6441289078302217,-1.7492704782846502,1,0.9388621093401307,High-Value Store Customers
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,40,4922,53,1,30-39,4,High-Value Omnichannel Customers,-2.3483908180194044,0.9858575876186422,0,0.9930465483485076,Low-Value Customers
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,68,5000,22,1,60-69,5,Low-Engagement Mature Customers,-1.83163306693507,-0.7844024826259507,0,0.9929095769954935,Low-Value Customers
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,50,4718,31,1,40-49,0,Recent Low-Value Customers,-2.0470227654924567,-0.73907552867311,0,0.9999999656647806,Low-Value Customers
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,49,4449,984,0,40-49,3,Dormant / Disengaged Customers,1.6112419353686216,1.3531531203244296,1,0.9994895350770612,High-Value Store Customers
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,29,5045,122,0,18-29,0,Recent Low-Value Customers,-2.7080551540044597,-1.362542209555069,0,0.8811485397238127,Low-Value Customers
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,57,4849,55,1,50-59,4,High-Value Omnichannel Customers,-2.1933268555094974,1.1072516899351594,0,0.9997114726879147,Low-Value Customers
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,71,5046,1319,2,70+,2,High-Value Store Loyalists,1.7731253014691066,-0.7150519222394921,3,0.9999999999980975,High-Value Omnichannel Customers
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,68,4496,507,1,60-69,1,High-Value At-Risk Customers,1.415281725421075,-0.17984641467521556,1,0.8387845198037911,High-Value Store Customers
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,61,5135,1693,0,60-69,1,High-Value At-Risk Customers,3.128620186876154,-1.5015055012729992,1,0.9706325386029505,High-Value Store Customers
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,4991,72,1,40-49,0,Recent Low-Value Customers,-1.8031537006814768,0.157015791669008,0,0.971059767448748,Low-Value Customers
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,48,4470,1617,0,40-49,3,Dormant / Disengaged Customers,2.151677737189825,0.599904058524479,1,0.9984680238562057,High-Value Store Customers
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,47,4830,606,2,40-49,3,Dormant / Disengaged Customers,1.1125274977399882,0.3735954618973179,1,0.9976645689657773,High-Value Store Customers
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,70,5035,1957,0,60-69,1,High-Value At-Risk Customers,3.445310302764007,0.7883048423776957,1,0.9893989606684723,High-Value Store Customers
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,59,4901,1093,0,50-59,1,High-Value At-Risk Customers,1.868951714069712,-0.4687796186168455,1,0.9964152845354455,High-Value Store Customers
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,37,4510,29,1,30-39,0,Recent Low-Value Customers,-1.4989785605963315,-0.12224551803510483,0,0.9997777826812289,Low-Value Customers
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,57,4566,518,1,50-59,2,High-Value Store Loyalists,0.2984750330063654,-0.1756186949751161,2,0.9864535075385323,Mid-Value Active Customers
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,43,4808,1438,0,40-49,3,Dormant / Disengaged Customers,2.251030461165728,-0.7483202710371223,1,0.9986785848116536,High-Value Store Customers
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,50,5108,612,2,40-49,3,Dormant / Disengaged Customers,1.4408281555798794,-0.8570587926754367,1,0.9986090591751206,High-Value Store Customers
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,73,4944,884,1,70+,2,High-Value Store Loyalists,1.4862181740269402,-1.270489262916466,1,0.7843002990637474,High-Value Store Customers
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,74,4831,606,1,70+,2,High-Value Store Loyalists,1.2529545760998797,-1.4044857684223648,2,0.8810110983099998,Mid-Value Active Customers
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,77,4653,1076,0,70+,1,High-Value At-Risk Customers,1.3182563741708488,-0.5191547133307308,1,0.9849496656897139,High-Value Store Customers
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,54,4852,34,1,50-59,4,High-Value Omnichannel Customers,-2.2244597560295745,0.9768012475096829,0,0.9818248279266389,Low-Value Customers
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,58,4497,11,2,50-59,0,Recent Low-Value Customers,-2.0875774047435143,-1.2975456177717268,0,0.9657742206453317,Low-Value Customers
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,46,4550,1274,1,40-49,2,High-Value Store Loyalists,2.6858304757853175,-1.7864616256210437,3,0.5944888778047064,High-Value Omnichannel Customers
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,67,4723,653,1,60-69,1,High-Value At-Risk Customers,1.412586887470823,-1.3058355321240593,1,0.9809135185295508,High-Value Store Customers
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,55,4895,1562,3,50-59,3,Dormant / Disengaged Customers,0.8821924974143003,1.5643867223488066,3,0.9999999140690933,High-Value Omnichannel Customers
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,71,5104,1253,0,70+,1,High-Value At-Risk Customers,1.3648469127804879,-1.0631603672812537,1,0.9968940442886896,High-Value Store Customers
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,66,4917,863,1,60-69,2,High-Value Store Loyalists,2.147090705695708,-1.5259759250325884,1,0.9784625069360445,High-Value Store Customers
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,50,4898,661,2,40-49,2,High-Value Store Loyalists,0.8524514257455879,0.3828716547910254,2,0.9116621164910985,Mid-Value Active Customers
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,73,4508,65,0,70+,5,Low-Engagement Mature Customers,-0.7280237700795594,1.0614936347925943,0,0.999999767728092,Low-Value Customers
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,48,5005,13,1,40-49,4,High-Value Omnichannel Customers,-1.8900748400788967,0.8545316229075113,0,0.919939518903078,Low-Value Customers
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,53,5119,1890,0,50-59,3,Dormant / Disengaged Customers,1.791008720300228,-0.7481888414147011,1,0.9290632159984513,High-Value Store Customers
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,49,5073,2209,0,40-49,3,Dormant / Disengaged Customers,2.494904408878135,-0.37087589403176896,1,0.8186544039253908,High-Value Store Customers
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,49,4746,18,0,40-49,0,Recent Low-Value Customers,-1.6756146728217634,-0.4694417491477782,0,0.999397504363316,Low-Value Customers
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,60,4991,692,0,50-59,2,High-Value Store Loyalists,0.8726356703621286,-2.2135456721127,2,0.9251958566796932,Mid-Value Active Customers
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,40,5117,165,1,30-39,4,High-Value Omnichannel Customers,-1.8025509029225326,0.8386382350191125,2,0.9996449917647144,Mid-Value Active Customers
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,56,4819,16,1,50-59,0,Recent Low-Value Customers,-2.2225630612293252,-1.175359521307565,0,0.9832538526829178,Low-Value Customers
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,52,4809,79,1,50-59,4,High-Value Omnichannel Customers,-1.837145792652639,1.0816705377413949,0,0.9944476487530062,Low-Value Customers
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,4862,318,0,60-69,5,Low-Engagement Mature Customers,-0.7556063109877208,0.8179866597954233,1,0.6788138646340696,High-Value Store Customers
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,38,4572,778,0,30-39,3,Dormant / Disengaged Customers,2.0317607642473834,-0.6221923289240298,1,0.9990693340256457,High-Value Store Customers
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,65,4770,56,2,60-69,4,High-Value Omnichannel Customers,-1.7048644166710947,1.6598923400649477,0,0.8388480170078186,Low-Value Customers
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,55,4796,151,2,50-59,0,Recent Low-Value Customers,-1.367564394495486,-0.09884750731941881,2,0.9966193544047809,Mid-Value Active Customers
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,68,4480,372,1,60-69,5,Low-Engagement Mature Customers,-0.07630726595299682,-1.7245465419141013,2,0.9988176056063219,Mid-Value Active Customers
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,52,4496,1366,0,50-59,3,Dormant / Disengaged Customers,1.915755355609532,0.9094284543152688,1,0.9962469069350433,High-Value Store Customers
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,58,4607,194,1,50-59,4,High-Value Omnichannel Customers,-0.1648022775069468,1.6029693820983542,2,0.979973562557459,Mid-Value Active Customers
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,53,4546,32,1,50-59,4,High-Value Omnichannel Customers,-1.780430952288793,0.7950107247095969,0,0.9898163825514728,Low-Value Customers
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,55,4484,43,1,50-59,4,High-Value Omnichannel Customers,-1.5226604959373757,1.2528568010973467,0,0.99996026152155,Low-Value Customers
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,42,4486,45,1,40-49,0,Recent Low-Value Customers,-1.8587111771386804,-0.5389195392431488,0,0.9946894572746839,Low-Value Customers
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,65,5032,606,1,60-69,2,High-Value Store Loyalists,0.34253086660388493,0.3838273354443833,2,0.6508440424874508,Mid-Value Active Customers
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,53,4892,63,2,50-59,0,Recent Low-Value Customers,-1.4526642896220192,-0.28688808910443747,0,0.9821189776702763,Low-Value Customers
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,74,4658,978,0,70+,1,High-Value At-Risk Customers,2.5586789079735652,0.19792858432499447,1,0.9985745712371737,High-Value Store Customers
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,42,4822,410,0,40-49,0,Recent Low-Value Customers,-0.03782997983166114,-0.7505274930586079,2,0.9835869739285609,Mid-Value Active Customers
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,65,4789,72,1,60-69,5,Low-Engagement Mature Customers,-1.5372059703838006,-1.4496801020375196,0,0.9850459874443261,Low-Value Customers
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,66,4539,55,1,60-69,5,Low-Engagement Mature Customers,-1.4700109732865212,0.09952506784138884,0,0.9804646530470337,Low-Value Customers
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,46,4883,1169,1,40-49,2,High-Value Store Loyalists,2.4409369385514568,-0.35317397115653004,1,0.6813015696532108,High-Value Store Customers
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,80,4856,1120,0,70+,1,High-Value At-Risk Customers,1.4702616231967327,0.7674693366644855,1,0.99553023789387,High-Value Store Customers
